factor,factor_iri,factor_label,cfde_disease
Fetal androgen synthesis and phenotypes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6dd0e0272b9a2ab31e1b,Fetal androgen synthesis and phenotypes (trait context: Congenital adrenal hyperplasia),Congenital adrenal hyperplasia
Fetal cardiomyocyte and sarcomere genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6c99ca564ff9b282b5e3,Fetal cardiomyocyte and sarcomere genes (trait context: Dilated cardiomyopathy),Dilated cardiomyopathy
Fetal erythroblast genes across tissues,https://purl.org/okn/frink/kg/digcfdekg/node/factor/243bc1b9fc24d18637ee,Fetal erythroblast genes across tissues (trait context: Porphyria),Porphyria
Fetal erythroblast signatures across organs,https://purl.org/okn/frink/kg/digcfdekg/node/factor/2ed126148d5f6cb0a189,Fetal erythroblast signatures across organs (trait context: Porphyria),Porphyria
Fetal erythroblast signatures in tissues,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5f199d31b792052ad54c,Fetal erythroblast signatures in tissues (trait context: Porphyria),Porphyria
Fetal lethality genes and CHD,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a94ad17e4fb4d5beafd6,Fetal lethality genes and CHD (trait context: Type 1 diabetes with ketoacidosis),Type 1 diabetes with ketoacidosis
Fetal lethality with gene mutations,https://purl.org/okn/frink/kg/digcfdekg/node/factor/76a729846ac4aa54d327,Fetal lethality with gene mutations (trait context: Type 2 diabetes (additive model)),Type 2 diabetes (additive model)
Fetal lung erythrocyte markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f2e6f203cfdfd4e1d4f4,Fetal lung erythrocyte markers (trait context: Porphyria),Porphyria
fetal lymphoid cell markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/cd3fbceaf961b9b9eb4c,fetal lymphoid cell markers (trait context: Multiple sclerosis),Multiple sclerosis
Fetal lymphoid cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7d3d85775f1a5c79845f,Fetal lymphoid cells (trait context: autoimmune disease),autoimmune disease
Fetal lymphoid cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/506f622015774d8947f6,Fetal lymphoid cells (trait context: Type 1 diabetes (T1D)),Type 1 diabetes (T1D)
Fetal Lymphoid Cells and T,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a5da8136473f2906abd3,Fetal Lymphoid Cells and T (trait context: Atopic dermatitis),Atopic dermatitis
Fetal lymphoid cells and thymus,https://purl.org/okn/frink/kg/digcfdekg/node/factor/50dae6b9b3ae8a6252c1,Fetal lymphoid cells and thymus (trait context: allergic disease),allergic disease
Fetal Lymphoid Cells Development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/45e9c6dc41667398ad1a,Fetal Lymphoid Cells Development (trait context: childhood onset asthma),childhood onset asthma
Fetal mesothelial cells and FGFs,https://purl.org/okn/frink/kg/digcfdekg/node/factor/8b3cb0419664563c350c,Fetal mesothelial cells and FGFs (trait context: chronic obstructive pulmonary disease),chronic obstructive pulmonary disease
Fetal myeloid and macrophage markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/8fb7e08eacd362bf71c4,Fetal myeloid and macrophage markers (trait context: Systemic lupus erythematosus (SLE)),Systemic lupus erythematosus (SLE)
Fetal photoreceptor development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/09df019b435b3db6ec26,Fetal photoreceptor development (trait context: Retinitis pigmentosa),Retinitis pigmentosa
FGF signaling and growth factors,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e3d7e17fefb9c9ad490a,FGF signaling and growth factors (trait context: chronic obstructive pulmonary disease),chronic obstructive pulmonary disease
FGF signaling pathways and stemness,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9554cd03c4febd43982d,FGF signaling pathways and stemness (trait context: Chronic obstructive pulmonary disease (COPD)),Chronic obstructive pulmonary disease (COPD)
FGFR CALR SHH signaling alterations,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4723a10433fbd0246d27,FGFR CALR SHH signaling alterations (trait context: Myeloproliferative neoplasm),Myeloproliferative neoplasm
FGFR FLT3 Signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/785d3ded221c654eec13,FGFR FLT3 Signaling (trait context: Rare hypertrophic cardiomyopathy),Rare hypertrophic cardiomyopathy
FGFR/RAS/ERK Signaling in Cancers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/fda6c0bff9d95e317c2e,FGFR/RAS/ERK Signaling in Cancers (trait context: Astrocytoma),Astrocytoma
Fibroblast gene regulation profile,https://purl.org/okn/frink/kg/digcfdekg/node/factor/75a00e62e3a1a2a96936,Fibroblast gene regulation profile (trait context: Type 1 diabetes with ophthalmic manifestations),Type 1 diabetes with ophthalmic manifestations
Fibrosis and Immune Signaling Pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9c1cb4c22c47cc6b069c,Fibrosis and Immune Signaling Pathways (trait context: Interstitial lung disease),Interstitial lung disease
Flavoprotein-Dependent Fatty Acid Oxidation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e7e1207e7ed20afe29c6,Flavoprotein-Dependent Fatty Acid Oxidation (trait context: Organic aciduria),Organic aciduria
FLT3,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f3a3361eafd0cde513d9,FLT3 (trait context: Non-Hodgkin lymphoma),Non-Hodgkin lymphoma
Forebrain neuron differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/bc5f69c0dcdae4824e83,Forebrain neuron differentiation (trait context: Hirschsprung disease),Hirschsprung disease
FOXO transcription and RB pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e6eb68adc2cd108ca791,FOXO transcription and RB pathways (trait context: Type 2 diabetes (additive model)),Type 2 diabetes (additive model)
FOXO-mediated metabolism regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d3d46b88592136ca7a63,FOXO-mediated metabolism regulation (trait context: Type 2 diabetes with renal manifestations),Type 2 diabetes with renal manifestations
FOXP3 regulatory T cell development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/43129a8c2edfbcf9b3bb,FOXP3 regulatory T cell development (trait context: Primary sclerosing cholangitis),Primary sclerosing cholangitis
Frontal lobe pathology and autophagy,https://purl.org/okn/frink/kg/digcfdekg/node/factor/22c50216aa279dbdfc59,Frontal lobe pathology and autophagy (trait context: Amyotrophic lateral sclerosis),Amyotrophic lateral sclerosis
Fructose metabolism and energy pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/80d975305d7606e2822b,Fructose metabolism and energy pathways (trait context: Glycogen storage disease),Glycogen storage disease
Fructose metabolism and glycolysis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/20531ff579046433d433,Fructose metabolism and glycolysis (trait context: Glycogen storage disease),Glycogen storage disease
FSHD1 DUX4 Physiology and Genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4589fe28c710620d1e3a,FSHD1 DUX4 Physiology and Genes (trait context: Familial medullary thyroid carcinoma),Familial medullary thyroid carcinoma
Fungal Susceptibility and Myeloid Markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/585a2b92725e66f22f0a,Fungal Susceptibility and Myeloid Markers (trait context: Interstitial lung disease),Interstitial lung disease
G1/S transition and p53 control,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e35bc78a898ec65937e7,G1/S transition and p53 control (trait context: renal carcinoma),renal carcinoma
G2/M Checkpoint and DSB Repair,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a214e4b650952626f282,G2/M Checkpoint and DSB Repair (trait context: Hereditary breast and/or ovarian cancer syndrome),Hereditary breast and/or ovarian cancer syndrome
G2/M Checkpoint Signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4b8c1641d3b0034c34d7,G2/M Checkpoint Signaling (trait context: Hereditary breast and/or ovarian cancer syndrome),Hereditary breast and/or ovarian cancer syndrome
GABA receptor channel activity,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9c3f3790f2db1748cab4,GABA receptor channel activity (trait context: Childhood absence epilepsy),Childhood absence epilepsy
GAG and proteoglycan metabolism,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c13d897b1ea36fd9efdc,GAG and proteoglycan metabolism (trait context: Mucopolysaccharidosis),Mucopolysaccharidosis
GAG catabolism in mucopolysaccharidoses,https://purl.org/okn/frink/kg/digcfdekg/node/factor/cf7f329e7aa30d3c14b6,GAG catabolism in mucopolysaccharidoses (trait context: Mucopolysaccharidosis),Mucopolysaccharidosis
GAG metabolism and metabolic diseases,https://purl.org/okn/frink/kg/digcfdekg/node/factor/51198b67a2b036610811,GAG metabolism and metabolic diseases (trait context: Mucopolysaccharidosis),Mucopolysaccharidosis
Gamma delta T cell activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/74a1971626207487539b,Gamma delta T cell activation (trait context: Rare aplastic anemia),Rare aplastic anemia
Gastric Lysozyme Positive Cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/2d5ff4d3d93b373d7d25,Gastric Lysozyme Positive Cells (trait context: Rare aplastic anemia),Rare aplastic anemia
Gaucher responses and MBD4,https://purl.org/okn/frink/kg/digcfdekg/node/factor/91ac0accfa26e17d05f3,Gaucher responses and MBD4 (trait context: Rare aplastic anemia),Rare aplastic anemia
Gene Coexpression in Vascular Tissues,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3b545e8c23c842311ac8,Gene Coexpression in Vascular Tissues (trait context: Rare cardiomyopathy),Rare cardiomyopathy
Genetic disorders and cancer genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9ff47155d9ed7c634406,Genetic disorders and cancer genes (trait context: Glioblastoma),Glioblastoma
Genetic obesity factors,https://purl.org/okn/frink/kg/digcfdekg/node/factor/75c88b60f3041cb6bbf4,Genetic obesity factors (trait context: Type 2 diabetes with peripheral circulatory manifestations),Type 2 diabetes with peripheral circulatory manifestations
Germ layer and organ formation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7661e72e6151b779b7e9,Germ layer and organ formation (trait context: Dermatophytosis),Dermatophytosis
Germinal B cell proliferation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7414eb2491f3de746149,Germinal B cell proliferation (trait context: Systemic lupus erythematosus (SLE)),Systemic lupus erythematosus (SLE)
Germinal Center Deficiency,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6c03fcc7c38f476ca688,Germinal Center Deficiency (trait context: Non-Hodgkin lymphoma),Non-Hodgkin lymphoma
Gland and Epithelial Tube Morphogenesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7e995e78e7f09939715d,Gland and Epithelial Tube Morphogenesis (trait context: colorectal cancer),colorectal cancer
Gland and osteoblast differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4266a8ffa42450745f30,Gland and osteoblast differentiation (trait context: Chronic obstructive pulmonary disease (COPD)),Chronic obstructive pulmonary disease (COPD)
Glaucoma-associated anterior segment defects,https://purl.org/okn/frink/kg/digcfdekg/node/factor/52d77872ec1afc8aee03,Glaucoma-associated anterior segment defects (trait context: open-angle glaucoma),open-angle glaucoma
Glaucoma-related anterior segment anomalies,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0ad507bb6966cad9090d,Glaucoma-related anterior segment anomalies (trait context: open-angle glaucoma),open-angle glaucoma
Glial activation and apolipoprotein binding,https://purl.org/okn/frink/kg/digcfdekg/node/factor/33d63e4b1127afa149b2,Glial activation and apolipoprotein binding (trait context: Frontotemporal dementia),Frontotemporal dementia
Glioblastoma and Cancer Signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a73acb62ae420e00fde3,Glioblastoma and Cancer Signaling (trait context: cancer),cancer
Glioblastoma and Cell Cycle Signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4a9619d6dc183126f72f,Glioblastoma and Cell Cycle Signaling (trait context: cancer),cancer
Glioblastoma signaling and cell cycle,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a68f5381334e7bd3ac74,Glioblastoma signaling and cell cycle (trait context: Type 2 diabetes (T2D) adj BMI),Type 2 diabetes (T2D) adj BMI
Glioblastoma signaling pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f158d1750a9fc2f63d20,Glioblastoma signaling pathways (trait context: Diabetic retinopathy),Diabetic retinopathy
Glioblastoma signaling pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c82f7762dcdbf6f2e3c6,Glioblastoma signaling pathways (trait context: Type 2 diabetes with neurological manifestations),Type 2 diabetes with neurological manifestations
Glomerulus pathology and signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0a43993dd79ee6b7531d,Glomerulus pathology and signaling (trait context: Diabetic retinopathy),Diabetic retinopathy
Glucan and glycogen metabolism,https://purl.org/okn/frink/kg/digcfdekg/node/factor/16b8ca9101345717eb2f,Glucan and glycogen metabolism (trait context: Glycogen storage disease),Glycogen storage disease
Glucocorticoid-downregulated targets,https://purl.org/okn/frink/kg/digcfdekg/node/factor/19552273db4cbfc8c74e,Glucocorticoid-downregulated targets (trait context: Type 1 diabetes with ophthalmic manifestations),Type 1 diabetes with ophthalmic manifestations
Glucose and insulin dysregulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/21084226113b75d8f7ef,Glucose and insulin dysregulation (trait context: type 2 diabetes mellitus),type 2 diabetes mellitus
Glucose and insulin resistance,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b6707af89313edfa88d1,Glucose and insulin resistance (trait context: Type 2 diabetes (T2D)),Type 2 diabetes (T2D)
Glucose and insulin resistance,https://purl.org/okn/frink/kg/digcfdekg/node/factor/fbf298d531edd8712c0b,Glucose and insulin resistance (trait context: type 2 diabetes mellitus),type 2 diabetes mellitus
Glucose and lipid homeostasis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e0b856b1de9f7b804f19,Glucose and lipid homeostasis (trait context: Type 2 diabetes (T2D)),Type 2 diabetes (T2D)
Glucose and lipid homeostasis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/01aaba17d4cf94cf342c,Glucose and lipid homeostasis (trait context: Type 2 diabetes (T2D) adj BMI),Type 2 diabetes (T2D) adj BMI
Glucose dysregulation with adipose loss,https://purl.org/okn/frink/kg/digcfdekg/node/factor/205012ed5514a15dbb91,Glucose dysregulation with adipose loss (trait context: Type 2 diabetes (with history of pregnancy)),Type 2 diabetes (with history of pregnancy)
Glucose dysregulation with adipose signals,https://purl.org/okn/frink/kg/digcfdekg/node/factor/295f43bff4c186ec8e70,Glucose dysregulation with adipose signals (trait context: Type 2 diabetes (dominant model)),Type 2 diabetes (dominant model)
Glucose homeostasis and hormone signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0f59143861fa7e4f652b,Glucose homeostasis and hormone signaling (trait context: Type 2 diabetes with neurological manifestations),Type 2 diabetes with neurological manifestations
Glucose homeostasis and insulin,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a9fea0b8eb269461300d,Glucose homeostasis and insulin (trait context: Type 2 diabetes (recessive model)),Type 2 diabetes (recessive model)
Glucose homeostasis and obesity signals,https://purl.org/okn/frink/kg/digcfdekg/node/factor/bb49f477e05e55737f46,Glucose homeostasis and obesity signals (trait context: type 2 diabetes mellitus),type 2 diabetes mellitus
